row,word,first,second,third,text
2,ȝwtkrtr,ȝ,w,t,150
2,ȝwtkrtwr,ȝ,w,t,71
1,ȝwtkrtwr,ȝ,w,t,96
3,ȝwtwkrtr,ȝ,w,t,143
2,ȝwtwkrtr,ȝ,w,t,146
1,ȝwtwktr,ȝ,w,t,141
3,ȝwdgrtwr,ȝ,w,d,49
3,ȝwdkrtr,ȝ,w,d,115
19,ȝw-ỉb,ȝ,w,-,73
4,ȝw,ȝ,w,NA,64
3,ȝw,ȝ,w,NA,80
4,ȝw,ȝ,w,NA,81
4,ȝw,ȝ,w,NA,128
4,ȝw,ȝ,w,NA,129
28,ȝw,ȝ,w,NA,163
27,ȝw,ȝ,w,NA,184
6,ȝw.t-ỉb,ȝ,w,NA,55
9,ȝw.t-ỉb,ȝ,w,NA,70
6,ȝw.t-ỉb,ȝ,w,NA,81
8,ȝw.t-ỉb,ȝ,w,NA,112
4,ȝw.t-ỉb,ȝ,w,NA,118
8,ȝw.t-ỉb,ȝ,w,NA,127
15,ȝw.t-ỉb,ȝ,w,NA,135
6,ȝw.t-ỉb,ȝ,w,NA,135
28,ȝw.t-ỉb,ȝ,w,NA,184
3,ȝw.w,ȝ,w,NA,127
13,ȝbḫ,ȝ,b,ḫ,70
3,ȝbḫ,ȝ,b,ḫ,183
6,ȝbd,ȝ,b,d,55
6,ȝbd,ȝ,b,d,55
11,ȝbd,ȝ,b,d,77
11,ȝbd,ȝ,b,d,77
17,ȝbd,ȝ,b,d,77
25,ȝbd,ȝ,b,d,163
22,ȝbd,ȝ,b,d,184
8,ȝbd.w,ȝ,b,d,51
22,ȝbd.w,ȝ,b,d,184
3,ȝb,ȝ,b,NA,58
3,ȝb,ȝ,b,NA,58
7,ȝb,ȝ,b,NA,58
5,ȝb,ȝ,b,NA,60
7,ȝb,ȝ,b,NA,80
6,ȝb,ȝ,b,NA,81
1,ȝb,ȝ,b,NA,82
3,ȝb,ȝ,b,NA,120
2,ȝb,ȝ,b,NA,125
4,ȝpd.w,ȝ,p,d,54
1,ȝms-ỉb,ȝ,m,s,104
8,ȝm,ȝ,m,NA,54
3,ȝm,ȝ,m,NA,141
19,ȝh,ȝ,h,NA,163
16,ȝh.t,ȝ,h,NA,77
17,ȝh.t,ȝ,h,NA,163
18,ȝh.t,ȝ,h,NA,163
6,ȝḫȝḫ,ȝ,ḫ,ȝ,81
1,ȝḫȝḫ,ȝ,ḫ,ȝ,129
26,ȝḫȝḫ,ȝ,ḫ,ȝ,163
7,ȝḫȝḫ,ȝ,ḫ,ȝ,169
2,ȝḫȝḫ,ȝ,ḫ,ȝ,190
6,ȝḫty,ȝ,ḫ,t,52
3,ȝḫ-bỉ.t,ȝ,ḫ,-,176
1,ȝḫ-bỉ.t,ȝ,ḫ,-,190
24,ȝḫ-rȝ,ȝ,ḫ,-,163
1,ȝḫ,ȝ,ḫ,NA,63
2,ȝḫ,ȝ,ḫ,NA,82
3,ȝḫ,ȝ,ḫ,NA,106
5,ȝḫ,ȝ,ḫ,NA,162
19,ȝḫ,ȝ,ḫ,NA,163
7,ȝḫ,ȝ,ḫ,NA,169
4,ȝḫ,ȝ,ḫ,NA,183
12,ȝḫ.t,ȝ,ḫ,NA,50
6,ȝḫ.t,ȝ,ḫ,NA,55
3,ȝḫ.t,ȝ,ḫ,NA,64
4,ȝḫ.t,ȝ,ḫ,NA,64
13,ȝḫ.t,ȝ,ḫ,NA,71
10,ȝḫ.t,ȝ,ḫ,NA,72
16,ȝḫ.t,ȝ,ḫ,NA,76
13,ȝḫ.t,ȝ,ḫ,NA,77
5,ȝḫ.t,ȝ,ḫ,NA,81
6,ȝḫ.t,ȝ,ḫ,NA,81
1,ȝḫ.t,ȝ,ḫ,NA,102
3,ȝḫ.t,ȝ,ḫ,NA,106
3,ȝḫ.t,ȝ,ḫ,NA,107
2,ȝḫ.t,ȝ,ḫ,NA,110
4,ȝḫ.t,ȝ,ḫ,NA,127
5,ȝḫ.t,ȝ,ḫ,NA,141
6,ȝḫ.t,ȝ,ḫ,NA,141
2,ȝḫ.t,ȝ,ḫ,NA,146
3,ȝḫ.t,ȝ,ḫ,NA,162
21,ȝḫ.t,ȝ,ḫ,NA,163
24,ȝḫ.t,ȝ,ḫ,NA,163
25,ȝḫ.t,ȝ,ḫ,NA,163
9,ȝḫ.t,ȝ,ḫ,NA,169
1,ȝḫ.t,ȝ,ḫ,NA,176
15,ȝḫ.t,ȝ,ḫ,NA,184
20,ȝḫ.t,ȝ,ḫ,NA,184
22,ȝḫ.t,ȝ,ḫ,NA,184
7,ȝḫ.w,ȝ,ḫ,NA,72
2,ȝḫ.w,ȝ,ḫ,NA,96
8,ȝḫ.w,ȝ,ḫ,NA,136
2,ȝḫ.w,ȝ,ḫ,NA,183
10,ȝḫ.wt,ȝ,ḫ,NA,54
7,ȝḫy,ȝ,ḫ,NA,169
2,ȝt,ȝ,t,NA,102
3,ȝty,ȝ,t,NA,190
9,ȝṯt.n,ȝ,ṯ,t,73
1,ȝ.t,ȝ,NA,t,59
25,ȝ.t,ȝ,NA,t,163
24,ȝ.t,ȝ,NA,t,184
1,ȝ.t,ȝ,NA,t,190
3,ȝy,ȝ,NA,NA,58
4,ȝy,ȝ,NA,NA,58
24,ȝy,ȝ,NA,NA,163
4,ỉȝw,ỉ,ȝ,w,63
2,ỉȝw,ỉ,ȝ,w,102
1,ỉȝw,ỉ,ȝ,w,103
1,ỉȝw,ỉ,ȝ,w,112
2,ỉȝw,ỉ,ȝ,w,129
11,ỉȝw,ỉ,ȝ,w,163
18,ỉȝw,ỉ,ȝ,w,163
18,ỉȝw,ỉ,ȝ,w,163
19,ỉȝw,ỉ,ȝ,w,184
17,ỉȝw.t,ỉ,ȝ,w,51
14,ỉȝw.t,ỉ,ȝ,w,88
2,ỉȝb,ỉ,ȝ,b,85
5,ỉȝbt.t,ỉ,ȝ,b,55
1,ỉȝbt.t,ỉ,ȝ,b,81
18,ỉȝbt.t,ỉ,ȝ,b,91
4,ỉȝbt.t,ỉ,ȝ,b,105
14,ỉȝbt.t,ỉ,ȝ,b,112
20,ỉȝbt.t,ỉ,ȝ,b,184
5,ỉȝbty,ỉ,ȝ,b,55
1,ỉȝt,ỉ,ȝ,t,81
1,ỉȝ.t,ỉ,ȝ,NA,58
1,ỉȝ.t,ỉ,ȝ,NA,60
2,ỉȝ.t,ỉ,ȝ,NA,60
3,ỉȝ.t,ỉ,ȝ,NA,60
1,ỉȝ.t,ỉ,ȝ,NA,64
1,ỉȝ.t,ỉ,ȝ,NA,80
4,ỉȝ.t,ỉ,ȝ,NA,80
1,ỉȝ.t,ỉ,ȝ,NA,81
2,ỉȝ.t,ỉ,ȝ,NA,81
8,ỉȝ.t,ỉ,ȝ,NA,104
4,ỉȝ.t,ỉ,ȝ,NA,106
4,ỉȝ.t,ỉ,ȝ,NA,127
3,ỉȝ.t,ỉ,ȝ,NA,129
1,ỉȝ.t,ỉ,ȝ,NA,130
3,ỉȝ.t,ỉ,ȝ,NA,130
4,ỉȝ.t,ỉ,ȝ,NA,130
4,ỉȝ.t,ỉ,ȝ,NA,130
5,ỉȝ.t,ỉ,ȝ,NA,130
26,ỉȝ.t,ỉ,ȝ,NA,163
4,ỉȝ.t-ṯȝ.wy,ỉ,ȝ,NA,80
1,ỉȝ.t-ṯȝ.wy,ỉ,ȝ,NA,104
10,ỉȝ.t-ṯȝ.wy,ỉ,ȝ,NA,104
5,ỉȝ.t-ṯȝ.wy,ỉ,ȝ,NA,140
16,ỉỉỉ,ỉ,ỉ,ỉ,77
12,ỉỉ,ỉ,ỉ,NA,52
11,ỉỉ,ỉ,ỉ,NA,54
5,ỉỉ,ỉ,ỉ,NA,55
6,ỉỉ,ỉ,ỉ,NA,55
9,ỉỉ,ỉ,ỉ,NA,67
18,ỉỉ,ỉ,ỉ,NA,73
7,ỉỉ,ỉ,ỉ,NA,76
8,ỉỉ,ỉ,ỉ,NA,76
11,ỉỉ,ỉ,ỉ,NA,77
15,ỉỉ,ỉ,ỉ,NA,77
1,ỉỉ,ỉ,ỉ,NA,96
1,ỉỉ,ỉ,ỉ,NA,104
5,ỉỉ,ỉ,ỉ,NA,105
3,ỉỉ,ỉ,ỉ,NA,110
10,ỉỉ,ỉ,ỉ,NA,120
6,ỉỉ,ỉ,ỉ,NA,127
15,ỉỉ,ỉ,ỉ,NA,184
4,ỉỉ.ỉn,ỉ,ỉ,NA,130
11,ỉỉ.n,ỉ,ỉ,NA,54
7,ỉỉ.n,ỉ,ỉ,NA,54
11,ỉỉ.n,ỉ,ỉ,NA,76
15,ỉỉ.n,ỉ,ỉ,NA,76
3,ỉỉ.n,ỉ,ỉ,NA,115
7,ỉỉ.n,ỉ,ỉ,NA,115
3,ỉỉ.n,ỉ,ỉ,NA,143
7,ỉỉ.n,ỉ,ỉ,NA,143
15,ỉʿw.t,ỉ,ʿ,w,184
4,ỉʿrr.t,ỉ,ʿ,r,130
8,ỉʿḥ,ỉ,ʿ,ḥ,51
11,ỉʿḥ,ỉ,ʿ,ḥ,113
14,ỉʿḥ,ỉ,ʿ,ḥ,184
4,ỉwʿʿ,ỉ,w,ʿ,49
2,ỉwʿʿ,ỉ,w,ʿ,64
3,ỉwʿʿ,ỉ,w,ʿ,67
6,ỉwʿʿ,ỉ,w,ʿ,104
12,ỉwʿʿ,ỉ,w,ʿ,135
3,ỉwʿʿ,ỉ,w,ʿ,183
1,ỉwʿw,ỉ,w,ʿ,59
6,ỉwn,ỉ,w,n,50
2,ỉwn,ỉ,w,n,80
2,ỉwn,ỉ,w,n,80
3,ỉwn,ỉ,w,n,106
13,ỉwn,ỉ,w,n,112
5,ỉwn,ỉ,w,n,162
2,ỉwn,ỉ,w,n,169
2,ỉwn,ỉ,w,n,169
11,ỉwn,ỉ,w,n,177
21,ỉwn,ỉ,w,n,184
22,ỉwn-ḥʿ,ỉ,w,n,184
10,ỉwn-ḥʿʿ,ỉ,w,n,52
1,ỉwn-ḥʿʿ,ỉ,w,n,169
5,ỉwn-wr,ỉ,w,n,162
25,ỉwn.t,ỉ,w,n,52
1,ỉwnn,ỉ,w,n,125
1,ỉwnt.t,ỉ,w,n,85
4,ỉwnw,ỉ,w,n,50
4,ỉwnw,ỉ,w,n,50
6,ỉwnw,ỉ,w,n,73
6,ỉwnw,ỉ,w,n,80
2,ỉwnw,ỉ,w,n,110
5,ỉwny.t,ỉ,w,n,51
3,ỉwny.t,ỉ,w,n,52
1,ỉwny.t,ỉ,w,n,55
1,ỉwny.t,ỉ,w,n,55
5,ỉwny.t,ỉ,w,n,55
7,ỉwny.t,ỉ,w,n,55
1,ỉwny.t,ỉ,w,n,60
1,ỉwny.t,ỉ,w,n,60
2,ỉwny.t,ỉ,w,n,60
16,ỉwny.t,ỉ,w,n,70
5,ỉwny.t,ỉ,w,n,70
15,ỉwny.t,ỉ,w,n,72
10,ỉwny.t,ỉ,w,n,73
17,ỉwny.t,ỉ,w,n,73
5,ỉwny.t,ỉ,w,n,73
11,ỉwny.t,ỉ,w,n,77
2,ỉwny.t,ỉ,w,n,80
1,ỉwny.t,ỉ,w,n,85
1,ỉwny.t,ỉ,w,n,96
1,ỉwny.t,ỉ,w,n,104
11,ỉwny.t,ỉ,w,n,104
4,ỉwny.t,ỉ,w,n,105
1,ỉwny.t,ỉ,w,n,106
3,ỉwny.t,ỉ,w,n,106
2,ỉwny.t,ỉ,w,n,125
4,ỉwny.t,ỉ,w,n,140
4,ỉwny.t,ỉ,w,n,141
8,ỉwny.t,ỉ,w,n,141
2,ỉwny.t,ỉ,w,n,162
1,ỉwny.t,ỉ,w,n,183
28,ỉwny.t,ỉ,w,n,184
5,ỉwnyt,ỉ,w,n,105
3,ỉwr,ỉ,w,r,85
15,ỉwḥ,ỉ,w,ḥ,184
1,ỉwt.t-ww,ỉ,w,t,130
27,ỉwt.t-ww,ỉ,w,t,163
2,ỉwtgrtr,ỉ,w,t,118
3,ỉwtk,ỉ,w,t,123
2,ỉwtkr,ỉ,w,t,140
2,ỉwtkrtr,ỉ,w,t,61
2,ỉwtkrtr,ỉ,w,t,62
5,ỉwty,ỉ,w,t,60
7,ỉwty,ỉ,w,t,73
11,ỉwty,ỉ,w,t,118
1,ỉwty,ỉ,w,t,162
15,ỉwty,ỉ,w,t,184
11,ỉwd,ỉ,w,d,177
6,ỉw,ỉ,w,NA,55
6,ỉw,ỉ,w,NA,55
3,ỉw,ỉ,w,NA,58
4,ỉw,ỉ,w,NA,58
4,ỉw,ỉ,w,NA,58
2,ỉw,ỉ,w,NA,59
2,ỉw,ỉ,w,NA,59
1,ỉw,ỉ,w,NA,60
2,ỉw,ỉ,w,NA,60
13,ỉw,ỉ,w,NA,70
9,ỉw,ỉ,w,NA,70
4,ỉw,ỉ,w,NA,73
12,ỉw,ỉ,w,NA,77
13,ỉw,ỉ,w,NA,77
13,ỉw,ỉ,w,NA,77
16,ỉw,ỉ,w,NA,77
17,ỉw,ỉ,w,NA,77
18,ỉw,ỉ,w,NA,77
2,ỉw,ỉ,w,NA,80
5,ỉw,ỉ,w,NA,81
1,ỉw,ỉ,w,NA,84
2,ỉw,ỉ,w,NA,95
7,ỉw,ỉ,w,NA,110
9,ỉw,ỉ,w,NA,110
3,ỉw,ỉ,w,NA,127
4,ỉw,ỉ,w,NA,127
4,ỉw,ỉ,w,NA,129
14,ỉw,ỉ,w,NA,131
5,ỉw,ỉ,w,NA,162
10,ỉw,ỉ,w,NA,176
4,ỉw,ỉ,w,NA,176
5,ỉw,ỉ,w,NA,176
27,ỉw,ỉ,w,NA,184
8,ỉw.n,ỉ,w,NA,51
3,ỉbw,ỉ,b,w,55
2,ỉbr,ỉ,b,r,85
1,ỉbr,ỉ,b,r,125
22,ỉbr,ỉ,b,r,163
13,ỉbs,ỉ,b,s,77
24,ỉb-n-rʿ,ỉ,b,-,52
16,ỉb,ỉ,b,NA,77
11,ỉb,ỉ,b,NA,127
3,ỉb.w,ỉ,b,NA,80
24,ỉb.w,ỉ,b,NA,184
7,ỉpw,ỉ,p,w,71
10,ỉpw,ỉ,p,w,110
10,ỉpw,ỉ,p,w,110
10,ỉpw,ỉ,p,w,110
12,ỉpw,ỉ,p,w,110
13,ỉpw,ỉ,p,w,110
15,ỉpw,ỉ,p,w,110
